epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,1080.03,0.53061,0.29653,0.81859,0.98477,0.96,0.98274,0.8689,0.49835,0.25847,0.82963,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,1089.39,0.51649,0.28815,0.81747,1,0.95894,0.98368,0.8629,0.51983,0.26011,0.82942,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,1098.82,0.52412,0.29101,0.82396,0.98334,0.96923,0.98334,0.86352,0.51502,0.265,0.82963,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,1108.19,0.51691,0.29132,0.81819,0.99568,0.95385,0.98287,0.86978,0.50439,0.2715,0.8254,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,1117.51,0.51902,0.29144,0.82475,0.99679,0.95585,0.97431,0.86774,0.49852,0.26173,0.82128,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,1126.85,0.50923,0.28511,0.82128,0.99053,0.96538,0.97453,0.8633,0.51516,0.26816,0.82996,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,1136.26,0.50695,0.28383,0.82978,0.99348,0.95385,0.9735,0.86953,0.49635,0.26664,0.8252,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,1145.62,0.5199,0.28922,0.81592,0.99298,0.96308,0.98264,0.87393,0.49836,0.25058,0.82576,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,1154.96,0.51417,0.28344,0.81776,0.9875,0.97538,0.97481,0.87077,0.49444,0.26169,0.82162,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,1164.35,0.51955,0.29032,0.8154,0.99048,0.96017,0.9827,0.86936,0.50937,0.27372,0.82796,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,1173.68,0.51117,0.28358,0.82884,0.99659,0.97231,0.97497,0.87339,0.49578,0.25242,0.82308,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
